review,sentiment
"I loved this movie, it was fantastic!",positive
"Terrible film, I hated it.",negative
"Best performance ever!",positive
"Not good, waste of time.",negative
"Absolutely wonderful and touching story.",positive
"Awful acting and plot.",negative
"An amazing experience.",positive
"Boring, dull, and predictable.",negative
"Great direction and brilliant cast.",positive
"Poor script and bad editing.",negative
"This movie was terrible and slow.",negative
"A masterpiece. Brilliant and emotional.",positive